CGATS.17
FORMAT_VERSION	2
Reference_sRGB_IEC_61966-2.1_Synthetic_XYZ_surface10
ICDM Workgroup 5 Color Volume & Accuracy 
by Karl Lang, Lumita, Inc.
CREATED Thursday, March 05, 2020
BEGIN_DATA_FORMAT
SampleID RGB_R RGB_G RGB_B LAB_L LAB_A LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS 602
BEGIN_DATA
250 51 229 0 80.1282 -69.5504 75.2037
251 51 255 0 88.1737 -76.2579 81.4488
252 76 25 0 17.012 23.6643 25.6502
253 76 51 0 23.6093 8.30055 32.7394
254 76 76 0 31.322 -6.55969 38.9012
255 76 102 0 39.8041 -20.0465 44.9356
256 76 127 0 48.0361 -31.155 51.0108
257 76 153 0 56.5303 -41.2371 57.4004
258 76 178 0 64.5835 -49.9098 63.5256
259 76 204 0 72.8238 -58.1634 69.8361
260 76 229 0 80.6164 -65.5551 75.8308
261 76 255 0 88.5899 -72.8142 81.9837
262 102 25 0 22.4895 34.0655 33.5015
263 102 51 0 27.6534 21.1009 38.1194
264 102 76 0 34.2673 6.52912 42.5324
265 102 102 0 41.9714 -8.0358 47.6555
266 102 127 0 49.7029 -20.6106 53.1215
267 102 153 0 57.8399 -32.1894 59.0677
268 102 178 0 65.6495 -42.1208 64.8871
269 102 204 0 73.7041 -51.4701 70.9629
270 102 229 0 81.3621 -59.7306 76.7866
271 102 255 0 89.2272 -67.7336 82.8014
272 127 25 0 27.8959 42.7649 40.7371
273 127 51 0 32.0224 31.9954 43.5666
274 127 76 0 37.6678 18.569 46.6334
275 127 102 0 44.5854 3.95663 50.8879
276 127 127 0 51.7656 -9.39346 55.7069
277 127 153 0 59.4878 -22.0777 61.1505
278 127 178 0 67.0049 -33.1072 66.6089
279 127 204 0 74.8315 -43.5154 72.4
280 127 229 0 82.3217 -52.6756 78.0126
281 127 255 0 90.0504 -61.4873 83.8549
282 153 25 0 33.5291 50.955 47.6555
283 153 51 0 36.8562 42.066 49.1162
284 153 76 0 41.6395 30.1152 51.314
285 153 102 0 47.7681 16.1318 54.7575
286 153 127 0 54.3461 2.6075 58.9016
287 153 153 0 61.5885 -10.7551 63.7819
288 153 178 0 68.7541 -22.6573 68.8158
289 153 204 0 76.2994 -34.0296 74.2614
290 153 229 0 83.5787 -44.0841 79.612
291 153 255 0 91.1336 -53.7502 85.2367
292 178 25 0 38.9018 58.2765 53.5901
293 178 51 0 41.6551 50.8167 54.3822
294 178 76 0 45.7521 40.2623 56.0544
295 178 102 0 51.187 27.2194 58.841
296 178 127 0 57.1921 13.9822 62.3773
297 178 153 0 63.9513 0.401957 66.711
298 178 178 0 70.7478 -12.0247 71.3113
299 178 204 0 77.9892 -24.1091 76.391
300 178 229 0 85.0358 -34.9042 81.4568
301 178 255 0 92.3961 -45.3334 86.8406
302 204 25 0 44.4204 65.4826 59.2485
303 204 51 0 46.7209 59.1898 59.8393
304 204 76 0 50.2342 49.9426 61.117
305 204 102 0 55.0307 38.0013 63.3505
306 204 127 0 60.4707 25.3603 66.3233
307 204 153 0 66.7265 11.9159 70.1122
308 204 178 0 73.1224 -0.741502 74.2566
309 204 204 0 80.0235 -13.3105 78.9364
310 204 229 0 86.8035 -24.7023 83.682
311 204 255 0 93.9368 -35.8092 88.789
312 229 25 0 49.6527 72.1173 64.575
313 229 51 0 51.6169 66.7105 65.0369
314 229 76 0 54.6722 58.552 66.041
315 229 102 0 58.9353 47.6668 67.8537
316 229 127 0 63.8744 35.7517 70.3598
317 229 153 0 69.6609 22.6855 73.6654
318 229 178 0 75.6681 10.0613 77.3832
319 229 204 0 82.2286 -2.7361 81.6737
320 229 229 0 88.7353 -14.5181 86.098
321 229 255 0 95.6318 -26.1351 90.921
322 255 25 0 55.016 78.7786 70.0083
323 255 51 0 56.705 74.1078 70.3768
324 255 76 0 59.3699 66.9145 71.1735
325 255 102 0 63.1555 57.06 72.6436
326 255 127 0 67.6232 45.9619 74.7412
327 255 153 0 72.948 33.4522 77.5962
328 255 178 0 78.5579 21.0649 80.8957
329 255 204 0 84.7598 8.24445 84.7887
330 255 229 0 90.9715 -3.75851 88.8746
331 255 255 0 97.6074 -15.7479 93.3913
332 255 25 25 55.0768 78.922 62.9697
333 255 25 51 55.2224 79.2654 50.7903
334 255 25 76 55.4651 79.8355 36.8352
335 255 25 102 55.8373 80.705 21.7655
336 255 25 127 56.319 81.8221 7.39786
337 255 25 153 56.9545 83.2815 -7.16009
