CGATS.17
FORMAT_VERSION	2
Reference_sRGB_IEC_61966-2.1_Synthetic_XYZ_surface10
ICDM Workgroup 5 Color Volume & Accuracy 
by Karl Lang, Lumita, Inc.
CREATED Thursday, March 05, 2020
BEGIN_DATA_FORMAT
SampleID RGB_R RGB_G RGB_B LAB_L LAB_A LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS 602
BEGIN_DATA
289 153 204 0 74.3675 -28.275 74.4431
290 153 229 0 81.6111 -38.4607 80.1177
291 153 255 0 89.1132 -48.1907 86.0357
292 178 25 0 35.9065 70.1612 48.1813
293 178 51 0 38.8306 61.8748 49.7822
294 178 76 0 43.1264 50.3216 52.3903
295 178 102 0 48.7496 36.2687 56.1076
296 178 127 0 54.8921 22.2105 60.4183
297 178 153 0 61.7446 7.9626 65.4239
298 178 178 0 68.5893 -4.94246 70.5601
299 178 204 0 75.8465 -17.3841 76.1066
300 178 229 0 82.8829 -28.4154 81.5541
301 178 255 0 90.2128 -39.0032 87.2813
302 204 25 0 41.0805 78.7545 53.1407
303 204 51 0 43.5306 71.7421 54.4469
304 204 76 0 47.2328 61.5611 56.6123
305 204 102 0 52.227 48.5972 59.791
306 204 127 0 57.8282 35.0588 63.594
307 204 153 0 64.2095 20.8324 68.1307
308 204 178 0 70.6858 7.57665 72.886
309 204 204 0 77.6342 -5.47096 78.1049
310 204 229 0 84.4311 -17.2065 83.2936
311 204 255 0 91.5586 -28.5723 88.7996
312 229 25 0 45.9921 86.6772 57.8271
313 229 51 0 48.0881 80.6389 58.9233
314 229 76 0 51.3196 71.6187 60.7575
315 229 102 0 55.7808 59.7309 63.5046
316 229 127 0 60.895 46.8815 66.8709
317 229 153 0 66.8305 32.9545 70.9798
318 229 178 0 72.9446 19.6366 75.3709
319 229 204 0 79.5803 6.25608 80.2653
320 229 229 0 86.1292 -5.96732 85.191
321 229 255 0 93.0437 -17.9376 90.4673
322 255 25 0 51.0312 94.6394 62.6195
323 255 51 0 52.8361 89.4143 63.5491
324 255 76 0 55.6631 81.4342 65.1131
325 255 102 0 59.6416 70.6184 67.4889
326 255 127 0 64.2913 58.5768 70.4575
327 255 153 0 69.7823 45.1537 74.1555
328 255 178 0 75.5214 31.9959 78.1808
329 255 204 0 81.8239 18.4995 82.7379
330 255 229 0 88.1025 5.963 87.3821
331 255 255 0 94.7805 -6.47281 92.4075
332 255 25 25 51.0812 95.0892 55.6682
333 255 25 51 51.2011 96.1634 43.5574
334 255 25 76 51.401 97.9376 29.6006
335 255 25 102 51.7079 100.623 14.4616
336 255 25 127 52.1057 104.038 -0.0270382
337 255 25 153 52.6314 108.443 -14.7604
338 255 25 178 53.2474 113.458 -28.5156
339 255 25 204 54.0038 119.418 -42.3663
340 255 25 229 54.8414 125.789 -55.2493
341 255 25 255 55.8247 132.99 -68.2105
342 255 51 25 52.8835 89.8666 57.0541
343 255 51 51 52.9973 90.9466 45.4549
344 255 51 76 53.1869 92.7311 31.8381
345 255 51 102 53.4783 95.4338 16.9082
346 255 51 127 53.8563 98.8721 2.53086
347 255 51 153 54.3563 103.311 -12.1455
348 255 51 178 54.9428 108.368 -25.8834
349 255 51 204 55.664 114.385 -39.7433
350 255 51 229 56.4639 120.821 -52.6543
351 255 51 255 57.4045 128.104 -65.6595
352 255 76 25 55.7069 81.8883 59.2366
353 255 76 51 55.8118 82.9727 48.3823
354 255 76 76 55.987 84.7656 35.2913
355 255 76 102 56.2562 87.4829 20.6987
356 255 76 127 56.6059 90.9433 6.50858
357 255 76 153 57.0691 95.4159 -8.06507
358 255 76 178 57.6134 100.52 -21.7635
359 255 76 204 58.2839 106.6 -35.6256
360 255 76 229 59.0292 113.116 -48.5692
361 255 76 255 59.9077 120.499 -61.6321
362 255 102 25 59.6809 71.0714 62.3283
363 255 102 51 59.7751 72.1539 52.4172
364 255 102 76 59.9325 73.9447 40.0475
365 255 102 102 60.1747 76.662 25.9457
366 255 102 127 60.4895 80.1274 12.0428
367 255 102 153 60.9073 84.6144 -2.3608
368 255 102 178 61.3991 89.7454 -15.98
369 255 102 204 62.0064 95.8724 -29.8218
370 255 102 229 62.6831 102.453 -42.7897
371 255 102 255 63.4832 109.928 -55.9123
372 255 127 25 64.3261 59.0245 65.9661
373 255 127 51 64.4098 60.0948 57.0214
374 255 127 76 64.5496 61.8669 45.46
375 255 127 102 64.7649 64.5593 31.9469
376 255 127 127 65.0452 67.999 18.4093
377 255 127 153 65.4176 72.462 4.23808
378 255 127 178 65.8569 77.578 -9.25696
379 255 127 204 66.4005 83.7038 -23.0432
380 255 127 229 67.0078 90.3018 -36.0102
381 255 127 255 67.7277 97.8188 -49.1735
382 255 153 25 69.8128 45.5909 70.2882
383 255 153 51 69.8862 46.6366 62.3254
384 255 153 76 70.0087 48.3697 51.6626
385 255 153 102 70.1976 51.0066 38.8532
386 255 153 127 70.4438 54.382 25.7794
387 255 153 153 70.7715 58.7724 11.9226
388 255 153 178 71.1586 63.8194 -1.38687
389 255 153 204 71.6386 69.8819 -15.0683
390 255 153 229 72.1761 76.4341 -27.9981
391 255 153 255 72.815 83.9253 -41.1731
392 255 178 25 75.5482 32.4187 74.8291
393 255 178 51 75.6127 33.4304 67.7392
394 255 178 76 75.7204 35.1087 57.9454
395 255 178 102 75.8866 37.666 45.8675
396 255 178 127 76.1034 40.9457 33.3052
397 255 178 153 76.3922 45.2221 19.8156
398 255 178 178 76.7339 50.1522 6.73909
399 255 178 204 77.1583 56.0935 -6.79286
400 255 178 229 77.6345 62.537 -19.6463
401 255 178 255 78.2018 69.9311 -32.7959
402 255 204 25 81.8474 18.9039 79.8366
403 255 204 51 81.9038 19.872 73.5579
404 255 204 76 81.9982 21.4793 64.6343
405 255 204 102 82.1438 23.9322 53.341
406 255 204 127 82.3339 27.0843 41.3596
407 255 204 153 82.5874 31.2046 28.3087
408 255 204 178 82.8877 35.969 15.5271
409 255 204 204 83.2613 41.7298 2.2005
410 255 204 229 83.6811 48.0006 -10.5304
411 255 204 255 84.1821 55.2247 -23.6132
412 255 229 25 88.1232 6.34744 84.8418
413 255 229 51 88.173 7.26831 79.246
414 255 229 76 88.2564 8.79861 71.1043
415 255 229 102 88.3851 11.137 60.5621
416 255 229 127 88.5532 14.1475 49.1674
417 255 229 153 88.7775 18.092 36.5811
418 255 229 178 89.0435 22.6655 24.1268
419 255 229 204 89.3748 28.2129 11.0416
420 255 229 229 89.7476 34.2723 -1.53198
421 255 229 255 90.1931 41.2786 -14.5122
422 255 255 25 94.7988 -6.1102 90.1796
423 255 255 51 94.8428 -5.24123 85.1991
424 255 255 76 94.9165 -3.79596 77.8019
425 255 255 102 95.0302 -1.58463 68.0162
426 255 255 127 95.1788 1.2674 57.2434
427 255 255 153 95.3773 5.01261 45.1712
428 255 255 178 95.6128 9.36677 33.0941
429 255 255 204 95.9064 14.6645 20.2998
430 255 255 229 96.2371 20.4709 7.92737
431 255 255 255 96.6329 27.2093 -4.9091
432 25 255 25 86.3523 -74.287 80.4002
433 25 255 51 86.4039 -72.7654 74.9572
